category,resume_text
QA Engineer,"QA Engineer with 2 years of experience. Skilled in Kafka, PostgreSQL, Django, Kubernetes. Experience with Linux, REST API, Jenkins. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 9 years of experience. Skilled in GraphQL, MongoDB, Spark, PyTorch, Docker, scikit-learn. Experience with Jenkins, Linux, Terraform, Microservices. Education: B.Tech in Computer Science."
QA Engineer,"QA Engineer with 4 years of experience. Skilled in Redis, GCP, Excel, GraphQL, Pandas, Kafka, TensorFlow. Experience with Jenkins, CI/CD, Jira, Ansible. Education: B.Tech in Computer Science."
Blockchain Developer,"Blockchain Developer with 1 years of experience. Skilled in Kafka, Hadoop, Azure, TensorFlow, Elasticsearch, Pandas. Experience with Git, Jenkins, REST API, Ansible. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in Node.js, Hadoop, scikit-learn, MongoDB, Python, Redis. Experience with Linux, Jenkins, Agile. Education: M.S. in Data Science."
Mobile Developer,"Mobile Developer with 8 years of experience. Skilled in Pandas, Azure, Redis, Power BI. Experience with Jira, CI/CD, Scrum. Education: B.E. in IT."
Frontend Developer,"Frontend Developer with 1 years of experience. Skilled in Tableau, TensorFlow, FastAPI, PyTorch, Flask. Experience with REST API, Scrum. Education: B.E. in IT."
Data Engineer,"Data Engineer with 7 years of experience. Skilled in Elasticsearch, PostgreSQL, Flask, Java. Experience with Linux, GitHub Actions, Jenkins. Education: B.Des."
Backend Developer,"Backend Developer with 1 years of experience. Skilled in AWS, GCP, Python, Node.js. Experience with GitHub Actions, Git, Ansible, REST API. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 8 years of experience. Skilled in NumPy, Kafka, C++, Airflow. Experience with Jira, CI/CD. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 10 years of experience. Skilled in C++, Spark, Pandas, Solidity, MongoDB, TensorFlow, Figma. Experience with CI/CD, Git, Scrum. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 1 years of experience. Skilled in NumPy, Kafka, Figma, Tableau. Experience with Agile, REST API. Education: M.Tech in AI."
Frontend Developer,"Frontend Developer with 7 years of experience. Skilled in Azure, PostgreSQL, Figma, Redis, Solidity. Experience with Linux, Agile, Ansible, Microservices. Education: MBA."
Data Scientist,"Data Scientist with 10 years of experience. Skilled in Kafka, C++, Java, Azure, Python. Experience with Microservices, Terraform. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 8 years of experience. Skilled in MongoDB, Azure, SQL, Spark. Experience with REST API, Git. Education: B.Des."
Cybersecurity Analyst,"Cybersecurity Analyst with 6 years of experience. Skilled in Django, PostgreSQL, FastAPI, Solidity, Excel. Experience with Terraform, Scrum. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 2 years of experience. Skilled in MongoDB, React, Redis, TensorFlow, C++. Experience with REST API, CI/CD, Jenkins, Git. Education: B.Des."
Product Manager,"Product Manager with 2 years of experience. Skilled in GCP, Excel, Docker, Tableau, Node.js. Experience with Git, Microservices, Agile. Education: M.S. in Data Science."
AI Engineer,"AI Engineer with 9 years of experience. Skilled in Python, Docker, GraphQL, Tableau, PostgreSQL. Experience with CI/CD, Microservices, GitHub Actions, Scrum. Education: M.Tech in AI."
Data Scientist,"Data Scientist with 8 years of experience. Skilled in PostgreSQL, Excel, Spark, Hadoop, Docker. Experience with GitHub Actions, Git, Ansible, CI/CD. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 4 years of experience. Skilled in React, Hadoop, GraphQL, Flask, PyTorch, Python, Docker. Experience with Ansible, Git, Terraform, Microservices. Education: B.E. in IT."
Mobile Developer,"Mobile Developer with 4 years of experience. Skilled in Python, Azure, PyTorch, Redis, Node.js, FastAPI, Hadoop. Experience with Jenkins, CI/CD. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 8 years of experience. Skilled in AWS, Power BI, GCP, FastAPI, PyTorch. Experience with Terraform, Linux, Git. Education: B.Tech in Computer Science."
Blockchain Developer,"Blockchain Developer with 10 years of experience. Skilled in GCP, PyTorch, Tableau, Pandas, Python. Experience with Terraform, Microservices, Linux. Education: MBA."
Cloud Engineer,"Cloud Engineer with 9 years of experience. Skilled in scikit-learn, PostgreSQL, Solidity, Airflow, FastAPI, Tableau, Spark. Experience with Linux, Terraform. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 7 years of experience. Skilled in Kafka, Docker, Spark, Redis, React, Flask. Experience with CI/CD, Terraform. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 6 years of experience. Skilled in C++, MongoDB, Node.js, Figma, Kubernetes, Elasticsearch. Experience with Agile, Scrum, Ansible. Education: M.Tech in AI."
Product Manager,"Product Manager with 2 years of experience. Skilled in TensorFlow, Kafka, PostgreSQL, Django, NumPy, Tableau. Experience with Jenkins, REST API. Education: B.Tech in Computer Science."
QA Engineer,"QA Engineer with 4 years of experience. Skilled in MongoDB, GraphQL, React, Excel, Kafka, AWS. Experience with CI/CD, Jira. Education: MBA."
Data Scientist,"Data Scientist with 7 years of experience. Skilled in TensorFlow, GraphQL, Kubernetes, Django, PostgreSQL, MongoDB. Experience with Scrum, Microservices, Terraform. Education: M.S. in Data Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 9 years of experience. Skilled in scikit-learn, Hadoop, GraphQL, AWS, Elasticsearch, Redis, TensorFlow. Experience with Terraform, Jira, GitHub Actions. Education: M.Tech in AI."
Data Engineer,"Data Engineer with 6 years of experience. Skilled in Java, NumPy, Airflow, FastAPI, Flask, PostgreSQL. Experience with Agile, GitHub Actions, Jenkins, CI/CD. Education: M.S. in Data Science."
Software Engineer,"Software Engineer with 6 years of experience. Skilled in Java, Tableau, Elasticsearch, NumPy, Power BI, FastAPI, Spark. Experience with GitHub Actions, CI/CD. Education: M.Tech in AI."
Software Engineer,"Software Engineer with 6 years of experience. Skilled in Power BI, Figma, Java, GCP, NumPy. Experience with Jira, Microservices, CI/CD. Education: B.E. in IT."
Backend Developer,"Backend Developer with 6 years of experience. Skilled in Elasticsearch, Solidity, AWS, Kubernetes. Experience with CI/CD, Scrum. Education: B.Tech in Computer Science."
Cybersecurity Analyst,"Cybersecurity Analyst with 5 years of experience. Skilled in Hadoop, TensorFlow, Tableau, Flask, NumPy, Power BI, Kafka. Experience with GitHub Actions, CI/CD, Ansible, Terraform. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 10 years of experience. Skilled in Elasticsearch, Python, Redis, C++, Kubernetes. Experience with Agile, GitHub Actions. Education: M.Tech in AI."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in Spark, scikit-learn, C++, Redis. Experience with Scrum, Git, Jira, CI/CD. Education: M.S. in Data Science."
Cloud Engineer,"Cloud Engineer with 4 years of experience. Skilled in Solidity, React, Redis, scikit-learn, SQL, Airflow, GraphQL. Experience with Scrum, Jira, Agile. Education: B.E. in IT."
Cybersecurity Analyst,"Cybersecurity Analyst with 2 years of experience. Skilled in Django, AWS, PyTorch, Redis, Tableau, Kubernetes, Excel. Experience with Linux, Terraform, Scrum. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 2 years of experience. Skilled in Elasticsearch, C++, TensorFlow, Azure, scikit-learn, NumPy, AWS. Experience with Jenkins, Git, Agile, GitHub Actions. Education: B.Des."
QA Engineer,"QA Engineer with 4 years of experience. Skilled in FastAPI, AWS, GraphQL, Excel, Figma, Docker. Experience with Scrum, Microservices, Linux. Education: B.E. in IT."
Blockchain Developer,"Blockchain Developer with 7 years of experience. Skilled in Tableau, NumPy, Excel, SQL. Experience with Microservices, Git. Education: M.Tech in AI."
Backend Developer,"Backend Developer with 8 years of experience. Skilled in Spark, PyTorch, Solidity, Kubernetes, Power BI, Redis. Experience with Ansible, Jenkins, Git. Education: M.Tech in AI."
Cloud Engineer,"Cloud Engineer with 7 years of experience. Skilled in Node.js, Python, GraphQL, MongoDB, Spark. Experience with Jira, Microservices. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 9 years of experience. Skilled in GraphQL, Kubernetes, Figma, SQL, PostgreSQL, Java, React. Experience with Linux, GitHub Actions, REST API, Git. Education: M.Tech in AI."
Data Engineer,"Data Engineer with 2 years of experience. Skilled in Hadoop, Kafka, Flask, Java, scikit-learn, GCP, Tableau. Experience with Terraform, Jira, REST API. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 8 years of experience. Skilled in SQL, PyTorch, GraphQL, FastAPI, Pandas, Excel. Experience with Terraform, REST API, Ansible. Education: B.Des."
UI/UX Designer,"UI/UX Designer with 5 years of experience. Skilled in scikit-learn, FastAPI, Redis, Tableau. Experience with Ansible, CI/CD, REST API. Education: B.Tech in Computer Science."
Business Analyst,"Business Analyst with 5 years of experience. Skilled in FastAPI, Figma, Kubernetes, AWS. Experience with Jenkins, Linux, Git, REST API. Education: B.Tech in Computer Science."
AI Engineer,"AI Engineer with 4 years of experience. Skilled in TensorFlow, Docker, Excel, Hadoop, Power BI. Experience with Linux, Agile. Education: M.S. in Data Science."
Data Scientist,"Data Scientist with 10 years of experience. Skilled in MongoDB, GCP, GraphQL, Python, Django, Node.js. Experience with Terraform, Jira. Education: B.Des."
QA Engineer,"QA Engineer with 3 years of experience. Skilled in Tableau, Figma, Node.js, Solidity, Django, Excel. Experience with Agile, Linux. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 4 years of experience. Skilled in Redis, Airflow, Excel, GraphQL, Spark, Pandas, MongoDB. Experience with Jira, Microservices, Agile. Education: B.E. in IT."
Data Engineer,"Data Engineer with 6 years of experience. Skilled in AWS, Figma, FastAPI, Solidity, GraphQL, NumPy. Experience with Jira, REST API, Jenkins, Linux. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 1 years of experience. Skilled in Redis, Hadoop, MongoDB, Kafka, TensorFlow, PyTorch, Python. Experience with Git, Terraform. Education: B.Des."
Mobile Developer,"Mobile Developer with 4 years of experience. Skilled in Power BI, Docker, Figma, Elasticsearch. Experience with Terraform, Linux. Education: MBA."
Data Scientist,"Data Scientist with 1 years of experience. Skilled in GCP, Kafka, Airflow, GraphQL, Excel, React. Experience with GitHub Actions, CI/CD, Linux, Scrum. Education: MBA."
QA Engineer,"QA Engineer with 4 years of experience. Skilled in MongoDB, Kafka, PostgreSQL, SQL. Experience with Jira, Terraform, Linux, Scrum. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 2 years of experience. Skilled in Tableau, React, Elasticsearch, FastAPI, Kubernetes, AWS. Experience with Agile, Microservices, Git. Education: M.S. in Data Science."
Business Analyst,"Business Analyst with 10 years of experience. Skilled in PostgreSQL, Node.js, Azure, C++. Experience with Jenkins, Microservices, REST API. Education: B.Tech in Computer Science."
Mobile Developer,"Mobile Developer with 6 years of experience. Skilled in GCP, Django, Solidity, Redis. Experience with Terraform, Agile. Education: B.E. in IT."
Mobile Developer,"Mobile Developer with 3 years of experience. Skilled in Hadoop, PostgreSQL, Kubernetes, Figma, Python, React. Experience with CI/CD, GitHub Actions. Education: M.S. in Data Science."
Blockchain Developer,"Blockchain Developer with 4 years of experience. Skilled in Django, Node.js, PyTorch, scikit-learn. Experience with GitHub Actions, REST API, Git. Education: M.S. in Data Science."
Cloud Engineer,"Cloud Engineer with 8 years of experience. Skilled in Redis, Docker, Spark, Excel, scikit-learn, Python. Experience with Agile, REST API, GitHub Actions. Education: B.Tech in Computer Science."
Mobile Developer,"Mobile Developer with 9 years of experience. Skilled in Figma, Docker, Excel, MongoDB, PyTorch. Experience with CI/CD, Git, Microservices, REST API. Education: B.E. in IT."
Business Analyst,"Business Analyst with 1 years of experience. Skilled in Kubernetes, Redis, PyTorch, Excel, Java, GCP, C++. Experience with Jenkins, Ansible, Microservices, Scrum. Education: MBA."
Software Engineer,"Software Engineer with 2 years of experience. Skilled in Azure, Redis, Node.js, React. Experience with Terraform, Agile, Jenkins. Education: M.S. in Data Science."
Blockchain Developer,"Blockchain Developer with 8 years of experience. Skilled in Figma, Spark, FastAPI, Kafka. Experience with Jira, Jenkins, Terraform. Education: M.Tech in AI."
Product Manager,"Product Manager with 3 years of experience. Skilled in Excel, Pandas, Azure, Kubernetes, scikit-learn, MongoDB, Tableau. Experience with Jenkins, Ansible. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 7 years of experience. Skilled in Docker, TensorFlow, Airflow, scikit-learn, Elasticsearch, Solidity. Experience with CI/CD, Jira, Git. Education: MBA."
Cloud Engineer,"Cloud Engineer with 9 years of experience. Skilled in Flask, Azure, TensorFlow, GraphQL, Excel. Experience with REST API, Agile, Jira, CI/CD. Education: B.E. in IT."
Business Analyst,"Business Analyst with 7 years of experience. Skilled in Kafka, Spark, AWS, Pandas, Solidity, Python, NumPy. Experience with Jira, CI/CD, Terraform. Education: M.S. in Data Science."
Machine Learning Engineer,"Machine Learning Engineer with 9 years of experience. Skilled in React, Redis, Elasticsearch, NumPy, Kafka, Figma. Experience with Ansible, GitHub Actions. Education: M.Tech in AI."
Frontend Developer,"Frontend Developer with 3 years of experience. Skilled in Hadoop, C++, MongoDB, Pandas. Experience with Ansible, Microservices. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 4 years of experience. Skilled in Java, GraphQL, Kafka, PyTorch, Flask, Python, Redis. Experience with GitHub Actions, Microservices, Agile. Education: B.Tech in Computer Science."
UI/UX Designer,"UI/UX Designer with 2 years of experience. Skilled in Azure, Spark, Kubernetes, TensorFlow, Tableau. Experience with Scrum, Jira, Jenkins. Education: B.Des."
Data Engineer,"Data Engineer with 9 years of experience. Skilled in GCP, Redis, Azure, NumPy. Experience with Jira, GitHub Actions. Education: MBA."
Software Engineer,"Software Engineer with 8 years of experience. Skilled in Django, Spark, Pandas, Java, Kubernetes, Flask, Azure. Experience with REST API, Scrum. Education: M.Tech in AI."
Data Scientist,"Data Scientist with 6 years of experience. Skilled in Power BI, Spark, Kafka, C++. Experience with Jenkins, GitHub Actions, Ansible. Education: MBA."
Data Engineer,"Data Engineer with 1 years of experience. Skilled in Pandas, Elasticsearch, Tableau, MongoDB, GraphQL, Kafka. Experience with CI/CD, Jira. Education: B.Tech in Computer Science."
Data Scientist,"Data Scientist with 7 years of experience. Skilled in PyTorch, PostgreSQL, Redis, Hadoop, TensorFlow. Experience with GitHub Actions, Microservices. Education: M.Tech in AI."
Software Engineer,"Software Engineer with 3 years of experience. Skilled in MongoDB, Kubernetes, Kafka, scikit-learn, Node.js, C++. Experience with Terraform, Ansible, Git, Linux. Education: MBA."
Machine Learning Engineer,"Machine Learning Engineer with 9 years of experience. Skilled in Kubernetes, GraphQL, Tableau, MongoDB. Experience with Ansible, Scrum, Linux, CI/CD. Education: B.E. in IT."
Data Scientist,"Data Scientist with 9 years of experience. Skilled in GraphQL, Azure, Kubernetes, Node.js, scikit-learn, Excel, NumPy. Experience with REST API, Jira, Jenkins, GitHub Actions. Education: MBA."
QA Engineer,"QA Engineer with 3 years of experience. Skilled in AWS, Django, Flask, Power BI, Spark. Experience with Scrum, Jenkins. Education: M.Tech in AI."
Frontend Developer,"Frontend Developer with 7 years of experience. Skilled in C++, NumPy, Python, PostgreSQL, Redis, Spark. Experience with Agile, Git, REST API, Jira. Education: M.S. in Data Science."
Business Analyst,"Business Analyst with 6 years of experience. Skilled in Power BI, PostgreSQL, PyTorch, Node.js. Experience with Jira, Agile, REST API, GitHub Actions. Education: MBA."
QA Engineer,"QA Engineer with 8 years of experience. Skilled in Excel, C++, SQL, AWS. Experience with Agile, Scrum, GitHub Actions. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 1 years of experience. Skilled in React, NumPy, Java, C++. Experience with Linux, CI/CD. Education: M.S. in Data Science."
Frontend Developer,"Frontend Developer with 2 years of experience. Skilled in scikit-learn, Tableau, SQL, TensorFlow. Experience with GitHub Actions, Ansible, Terraform, CI/CD. Education: B.Des."
Machine Learning Engineer,"Machine Learning Engineer with 6 years of experience. Skilled in Figma, GraphQL, PostgreSQL, Flask. Experience with Git, CI/CD. Education: B.Tech in Computer Science."
AI Engineer,"AI Engineer with 8 years of experience. Skilled in React, Hadoop, Python, GCP, Elasticsearch. Experience with GitHub Actions, Jira, Jenkins. Education: MBA."
Blockchain Developer,"Blockchain Developer with 5 years of experience. Skilled in AWS, Excel, GraphQL, PostgreSQL. Experience with GitHub Actions, Agile, Git, Microservices. Education: B.E. in IT."
Product Manager,"Product Manager with 3 years of experience. Skilled in Pandas, PostgreSQL, Azure, MongoDB, Tableau. Experience with Git, Scrum. Education: M.Tech in AI."
AI Engineer,"AI Engineer with 9 years of experience. Skilled in Kafka, Airflow, Node.js, Excel, PyTorch, Pandas. Experience with Ansible, Git. Education: M.Tech in AI."
UI/UX Designer,"UI/UX Designer with 2 years of experience. Skilled in PyTorch, React, Java, Power BI, Python, TensorFlow, SQL. Experience with CI/CD, Jira. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 3 years of experience. Skilled in AWS, FastAPI, SQL, Power BI, Kafka, Airflow. Experience with Linux, Jenkins. Education: B.Des."
Cloud Engineer,"Cloud Engineer with 10 years of experience. Skilled in Redis, Pandas, Django, Flask, Azure. Experience with Linux, Git, Agile. Education: B.Des."
Cybersecurity Analyst,"Cybersecurity Analyst with 7 years of experience. Skilled in Flask, GraphQL, Spark, Kubernetes, Power BI. Experience with Jenkins, Git, Linux, Ansible. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 8 years of experience. Skilled in Azure, Elasticsearch, Solidity, Docker. Experience with Git, Scrum. Education: B.Tech in Computer Science."
DevOps Engineer,"DevOps Engineer with 4 years of experience. Skilled in Java, Hadoop, Redis, Airflow. Experience with Microservices, Git, CI/CD, REST API. Education: M.Tech in AI."
Cybersecurity Analyst,"Cybersecurity Analyst with 2 years of experience. Skilled in Docker, FastAPI, Node.js, Java, NumPy, scikit-learn, Figma. Experience with Git, Jira, CI/CD. Education: B.Tech in Computer Science."
Product Manager,"Product Manager with 9 years of experience. Skilled in Pandas, Power BI, React, Spark, NumPy, Docker, PostgreSQL. Experience with Agile, Terraform. Education: B.E. in IT."
Business Analyst,"Business Analyst with 7 years of experience. Skilled in Python, MongoDB, AWS, Tableau, Azure, GraphQL, Figma. Experience with Microservices, Linux. Education: M.S. in Data Science."
DevOps Engineer,"DevOps Engineer with 1 years of experience. Skilled in Java, Elasticsearch, NumPy, Figma, Airflow. Experience with Scrum, Linux, Terraform, REST API. Education: B.Des."
QA Engineer,"QA Engineer with 10 years of experience. Skilled in Elasticsearch, AWS, GCP, FastAPI. Experience with Ansible, REST API, Jenkins, CI/CD. Education: MBA."
Machine Learning Engineer,"Machine Learning Engineer with 10 years of experience. Skilled in Kubernetes, Excel, Solidity, Spark, AWS, PostgreSQL, SQL. Experience with Terraform, Ansible, GitHub Actions. Education: B.Des."
Backend Developer,"Backend Developer with 6 years of experience. Skilled in scikit-learn, Hadoop, Python, Tableau. Experience with Scrum, REST API. Education: B.Des."
Frontend Developer,"Frontend Developer with 7 years of experience. Skilled in C++, Hadoop, Redis, Power BI, Azure. Experience with Jira, Microservices, Ansible. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 1 years of experience. Skilled in Flask, React, FastAPI, Python. Experience with Jenkins, Git, Microservices. Education: B.Tech in Computer Science."
AI Engineer,"AI Engineer with 4 years of experience. Skilled in Power BI, C++, Spark, TensorFlow, Redis. Experience with Jira, Scrum. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 5 years of experience. Skilled in Java, SQL, Redis, React. Experience with Scrum, CI/CD. Education: B.Tech in Computer Science."
Backend Developer,"Backend Developer with 10 years of experience. Skilled in Redis, Tableau, scikit-learn, NumPy. Experience with Terraform, Linux, Scrum. Education: B.Tech in Computer Science."
Blockchain Developer,"Blockchain Developer with 1 years of experience. Skilled in Kubernetes, Flask, Spark, FastAPI. Experience with Git, Microservices. Education: MBA."
Machine Learning Engineer,"Machine Learning Engineer with 2 years of experience. Skilled in Flask, Docker, Node.js, Kafka, TensorFlow, Spark, Figma. Experience with REST API, Jira, Microservices. Education: B.Des."
Business Analyst,"Business Analyst with 9 years of experience. Skilled in SQL, Node.js, FastAPI, Hadoop, Kafka, PostgreSQL. Experience with Linux, CI/CD, Jira, Agile. Education: B.Des."
QA Engineer,"QA Engineer with 3 years of experience. Skilled in C++, Pandas, Airflow, NumPy, Excel, React. Experience with Linux, CI/CD, Scrum, Terraform. Education: MBA."
Data Engineer,"Data Engineer with 1 years of experience. Skilled in AWS, Django, MongoDB, Flask. Experience with Scrum, Microservices. Education: B.Des."
DevOps Engineer,"DevOps Engineer with 4 years of experience. Skilled in Azure, Tableau, scikit-learn, MongoDB, Figma, SQL. Experience with Jenkins, CI/CD, GitHub Actions. Education: B.Tech in Computer Science."
Blockchain Developer,"Blockchain Developer with 9 years of experience. Skilled in Pandas, Node.js, Elasticsearch, React. Experience with Linux, Agile, Jira. Education: B.Des."
DevOps Engineer,"DevOps Engineer with 4 years of experience. Skilled in Kafka, TensorFlow, Figma, GCP, Django, Azure. Experience with Terraform, Scrum. Education: M.S. in Data Science."
Cloud Engineer,"Cloud Engineer with 7 years of experience. Skilled in Airflow, Python, Redis, Flask, Java. Experience with Scrum, REST API. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 10 years of experience. Skilled in Azure, scikit-learn, Tableau, TensorFlow, Java, C++. Experience with Microservices, Linux. Education: B.Des."
Software Engineer,"Software Engineer with 10 years of experience. Skilled in React, Spark, Docker, Django. Experience with Jira, Jenkins, CI/CD. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 4 years of experience. Skilled in scikit-learn, FastAPI, SQL, Excel, Figma. Experience with Jenkins, Linux, Jira. Education: M.S. in Data Science."
Data Engineer,"Data Engineer with 9 years of experience. Skilled in GCP, Power BI, Spark, Azure, Java. Experience with Microservices, Terraform, REST API, CI/CD. Education: M.S. in Data Science."
Backend Developer,"Backend Developer with 8 years of experience. Skilled in Solidity, Elasticsearch, scikit-learn, SQL, Flask, TensorFlow. Experience with GitHub Actions, Microservices, Jenkins, Git. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 7 years of experience. Skilled in NumPy, C++, MongoDB, Hadoop. Experience with Microservices, REST API. Education: M.Tech in AI."
Business Analyst,"Business Analyst with 4 years of experience. Skilled in Django, MongoDB, C++, NumPy, PyTorch, Figma. Experience with Terraform, REST API, Linux, CI/CD. Education: M.Tech in AI."
DevOps Engineer,"DevOps Engineer with 6 years of experience. Skilled in FastAPI, Kafka, MongoDB, Node.js. Experience with Jira, Microservices. Education: B.E. in IT."
Product Manager,"Product Manager with 7 years of experience. Skilled in Docker, Django, Kubernetes, Node.js. Experience with Git, Terraform. Education: B.Tech in Computer Science."
Product Manager,"Product Manager with 1 years of experience. Skilled in Airflow, Java, Python, PostgreSQL, NumPy, Power BI, scikit-learn. Experience with Jenkins, Git, CI/CD. Education: B.E. in IT."
Blockchain Developer,"Blockchain Developer with 7 years of experience. Skilled in GraphQL, Excel, Elasticsearch, Redis, PyTorch. Experience with Jira, Jenkins, Git, REST API. Education: M.S. in Data Science."
Business Analyst,"Business Analyst with 7 years of experience. Skilled in Kafka, Tableau, Azure, GCP. Experience with Linux, GitHub Actions, REST API, Ansible. Education: B.Tech in Computer Science."
Cloud Engineer,"Cloud Engineer with 1 years of experience. Skilled in Spark, GCP, Figma, AWS, FastAPI, Power BI, C++. Experience with GitHub Actions, Scrum, Linux, Jenkins. Education: B.Des."
AI Engineer,"AI Engineer with 6 years of experience. Skilled in Excel, PyTorch, Node.js, Airflow, Python, Spark, Redis. Experience with Terraform, Scrum. Education: M.S. in Data Science."
Business Analyst,"Business Analyst with 10 years of experience. Skilled in Power BI, FastAPI, Figma, scikit-learn, PyTorch, GCP. Experience with Jenkins, CI/CD. Education: M.S. in Data Science."
AI Engineer,"AI Engineer with 9 years of experience. Skilled in Excel, Node.js, Redis, Kafka, C++, Airflow, Python. Experience with Terraform, CI/CD. Education: M.S. in Data Science."
QA Engineer,"QA Engineer with 5 years of experience. Skilled in Spark, NumPy, Redis, Hadoop, Docker, MongoDB, React. Experience with Microservices, Linux, Scrum. Education: MBA."
QA Engineer,"QA Engineer with 2 years of experience. Skilled in Excel, Flask, Django, SQL. Experience with REST API, Agile, GitHub Actions. Education: M.S. in Data Science."
Mobile Developer,"Mobile Developer with 8 years of experience. Skilled in Pandas, Solidity, Java, Airflow, Node.js, NumPy. Experience with Linux, Microservices, REST API, Git. Education: MBA."
Data Scientist,"Data Scientist with 4 years of experience. Skilled in Docker, TensorFlow, Pandas, Solidity, Hadoop. Experience with CI/CD, Scrum, Terraform, GitHub Actions. Education: B.Des."
Backend Developer,"Backend Developer with 6 years of experience. Skilled in Excel, Spark, Node.js, Solidity, Flask, Hadoop, Tableau. Experience with Linux, REST API, Jira, Microservices. Education: MBA."
QA Engineer,"QA Engineer with 1 years of experience. Skilled in SQL, scikit-learn, TensorFlow, Node.js, AWS, Solidity, C++. Experience with GitHub Actions, Jenkins, Agile. Education: B.E. in IT."
Product Manager,"Product Manager with 3 years of experience. Skilled in Node.js, Django, AWS, GCP, C++, Figma. Experience with REST API, Jira, Git. Education: B.Tech in Computer Science."
Machine Learning Engineer,"Machine Learning Engineer with 9 years of experience. Skilled in Figma, FastAPI, GCP, C++, Azure, Hadoop, Redis. Experience with Terraform, Git. Education: M.S. in Data Science."
UI/UX Designer,"UI/UX Designer with 6 years of experience. Skilled in GraphQL, Redis, Django, Figma, PyTorch, MongoDB, C++. Experience with Agile, Git, GitHub Actions, Scrum. Education: B.E. in IT."
